Sample,Soil Type,Arabidopsis,Treatment,Developmental,BiologicalOrExperimentalRep
M21.Tsu.2E.old.M2_42b,M21,Tsu,E,old,M2_42b
M21.Tsu.8E.old.M2_42b,M21,Tsu,E,old,M2_42b
M21.Tsu.9E.old.M2_42b,M21,Tsu,E,old,M2_42b
M21.Tsu.6E.old.M2_52a,M21,Tsu,E,old,M2_52a
C21.Ct.4E.old.C2_43a,C21,Ct,E,old,C2_43a
C21.Ct.9E.old.C2_43a,C21,Ct,E,old,C2_43a
C21.Ct.10E.old.C2_43a,C21,Ct,E,old,C2_43a
C21.Cvi.3E.old.C2_43a,C21,Cvi,E,old,C2_43a
C21.Cvi.7E.old.C2_43a,C21,Cvi,E,old,C2_43a
C21.Cvi.8E.old.C2_43a,C21,Cvi,E,old,C2_43a
C21.Cvi.9E.old.C2_43a,C21,Cvi,E,old,C2_43a
C21.Cvi.10E.old.C2_43a,C21,Cvi,E,old,C2_43a
C21.Cvi.11E.old.C2_43a,C21,Cvi,E,old,C2_43a
C21.Cvi.12E.old.C2_43a,C21,Cvi,E,old,C2_43a
C21.Ler.1E.old.C2_43a,C21,Ler,E,old,C2_43a
C21.Ler.2E.old.C2_43a,C21,Ler,E,old,C2_43a
C21.Ler.3E.old.C2_43a,C21,Ler,E,old,C2_43a
C21.Mt.6E.old.C2_43b,C21,Mt,E,old,C2_43b
C21.Mt.7E.old.C2_43b,C21,Mt,E,old,C2_43b
C21.Mt.9E.old.C2_43b,C21,Mt,E,old,C2_43b
M21.Ler.1R.yng.M1_27b,M21,Ler,R,yng,M1_27b
M21.Ler.5R.yng.M1_29b,M21,Ler,R,yng,M1_29b
M21.Ler.4R.yng.M1_29b,M21,Ler,R,yng,M1_29b
M21.Ler.3R.yng.M1_29b,M21,Ler,R,yng,M1_29b
M21.Ler.2R.yng.M1_29b,M21,Ler,R,yng,M1_29b
M21.Ler.8R.yng.M1_29b,M21,Ler,R,yng,M1_29b
M21.Ler.9R.yng.M1_29b,M21,Ler,R,yng,M1_29b
M21.Ler.10R.yng.M1_29b,M21,Ler,R,yng,M1_29b
C21.Oy.4E.old.C2_43b,C21,Oy,E,old,C2_43b
C21.Oy.5E.old.C2_43b,C21,Oy,E,old,C2_43b
C21.Oy.6E.old.C2_43b,C21,Oy,E,old,C2_43b
C21.Oy.7E.old.C2_43b,C21,Oy,E,old,C2_43b
C21.Oy.8E.old.C2_43b,C21,Oy,E,old,C2_43b
C21.Oy.9E.old.C2_43b,C21,Oy,E,old,C2_43b
M21.Tsu.8R.yng.M1_28b,M21,Tsu,R,yng,M1_28b
M21.Tsu.9R.yng.M1_28b,M21,Tsu,R,yng,M1_28b
M21.Tsu.10R.yng.M1_28b,M21,Tsu,R,yng,M1_28b
M21.Tsu.11R.yng.M1_28b,M21,Tsu,R,yng,M1_28b
M21.Tsu.1R.yng.M1_29b,M21,Tsu,R,yng,M1_29b
M21.Tsu.2R.yng.M1_29b,M21,Tsu,R,yng,M1_29b
M21.Tsu.3R.yng.M1_29b,M21,Tsu,R,yng,M1_29b
M21.Tsu.4_2R.yng.M1_29b,M21,Tsu,R,yng,M1_29b
M21.Tsu.6R.yng.M1_29b,M21,Tsu,R,yng,M1_29b
M21.Tsu.7R.yng.M1_29b,M21,Tsu,R,yng,M1_29b
C21.Sha.1E.old.C2_43b,C21,Sha,E,old,C2_43b
C21.Sha.3E.old.C2_43b,C21,Sha,E,old,C2_43b
C21.Sha.5E.old.C2_43b,C21,Sha,E,old,C2_43b
C21.Sha.6E.old.C2_43b,C21,Sha,E,old,C2_43b
C21.Sha.7E.old.C2_43b,C21,Sha,E,old,C2_43b
C21.Sha.10E.old.C2_43b,C21,Sha,E,old,C2_43b
C21.Sha.11E.old.C2_43b,C21,Sha,E,old,C2_43b
C21.Tsu.1E.old.C2_43b,C21,Tsu,E,old,C2_43b
C21.Tsu.3E.old.C2_43b,C21,Tsu,E,old,C2_43b
C21.Tsu.4E.old.C2_43b,C21,Tsu,E,old,C2_43b
C21.Tsu.6E.old.C2_43b,C21,Tsu,E,old,C2_43b
C21.Tsu.8E.old.C2_43b,C21,Tsu,E,old,C2_43b
C21.Tsu.8_2E.old.C2_43b,C21,Tsu,E,old,C2_43b
M21.Soil.1S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Soil.2S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Soil.3S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Soil.4S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Soil.4_2S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Soil.5S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Soil.6S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Soil.7S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Soil.8S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Soil.10S.yng.M2_44a,M21,Soil,S,yng,M2_44a
M21.Col.2R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Col.3R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Col.4R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Col.5R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Col.7R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Col.8R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Col.9R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Col.10R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Col.11R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Col.12R.yng.M2_44a,M21,Col,R,yng,M2_44a
M21.Ct.3R.yng.M2_44a,M21,Ct,R,yng,M2_44a
M21.Ct.4R.yng.M2_44a,M21,Ct,R,yng,M2_44a
M21.Ct.4_2R.yng.M2_44a,M21,Ct,R,yng,M2_44a
M21.Ct.5R.yng.M2_44a,M21,Ct,R,yng,M2_44a
M21.Ct.6R.yng.M2_44a,M21,Ct,R,yng,M2_44a
M21.Ct.7R.yng.M2_44a,M21,Ct,R,yng,M2_44a
M21.Ct.8R.yng.M2_44a,M21,Ct,R,yng,M2_44a
M21.Cvi.1R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Cvi.2R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Cvi.2_2R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Cvi.3R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Cvi.4R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Cvi.4_2R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Cvi.5R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Cvi.8R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Cvi.10R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Cvi.11R.yng.M2_44a,M21,Cvi,R,yng,M2_44a
M21.Ler.1R.yng.M2_44a,M21,Ler,R,yng,M2_44a
M21.Ler.2R.yng.M2_44b,M21,Ler,R,yng,M2_44b
M21.Ler.3R.yng.M2_44b,M21,Ler,R,yng,M2_44b
M21.Ler.4R.yng.M2_44b,M21,Ler,R,yng,M2_44b
M21.Ler.6R.yng.M2_44b,M21,Ler,R,yng,M2_44b
M21.Ler.7R.yng.M2_44b,M21,Ler,R,yng,M2_44b
M21.Ler.8R.yng.M2_44b,M21,Ler,R,yng,M2_44b
M21.Ler.9R.yng.M2_44b,M21,Ler,R,yng,M2_44b
M21.Ler.10R.yng.M2_44b,M21,Ler,R,yng,M2_44b
M21.Ler.5R.yng.M2_45b,M21,Ler,R,yng,M2_45b
M21.Mt.1R.yng.M2_44b,M21,Mt,R,yng,M2_44b
M21.Mt.2R.yng.M2_44b,M21,Mt,R,yng,M2_44b
M21.Mt.5R.yng.M2_44b,M21,Mt,R,yng,M2_44b
M21.Mt.6R.yng.M2_44b,M21,Mt,R,yng,M2_44b
M21.Mt.7R.yng.M2_44b,M21,Mt,R,yng,M2_44b
M21.Mt.8R.yng.M2_44b,M21,Mt,R,yng,M2_44b
M21.Mt.9R.yng.M2_44b,M21,Mt,R,yng,M2_44b
M21.Mt.10R.yng.M2_44b,M21,Mt,R,yng,M2_44b
M21.Oy.1R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Oy.2R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Oy.3R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Oy.4R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Oy.5R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Oy.6R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Oy.7R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Oy.8R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Oy.9R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Oy.10R.yng.M2_44b,M21,Oy,R,yng,M2_44b
M21.Sha.1R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Sha.3R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Sha.3_2R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Sha.4R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Sha.5R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Sha.6R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Sha.7R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Sha.8R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Sha.9R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Sha.10R.yng.M2_44b,M21,Sha,R,yng,M2_44b
M21.Tsu.1R.yng.M2_44b,M21,Tsu,R,yng,M2_44b
M21.Tsu.3R.yng.M2_44b,M21,Tsu,R,yng,M2_44b
M21.Tsu.4R.yng.M2_44b,M21,Tsu,R,yng,M2_44b
M21.Tsu.6R.yng.M2_44b,M21,Tsu,R,yng,M2_44b
M21.Tsu.7R.yng.M2_44b,M21,Tsu,R,yng,M2_44b
M21.Tsu.8R.yng.M2_44b,M21,Tsu,R,yng,M2_44b
M21.Tsu.9R.yng.M2_44b,M21,Tsu,R,yng,M2_44b
M21.Tsu.10R.yng.M2_44b,M21,Tsu,R,yng,M2_44b
M21.Soil.1S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Soil.2S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Soil.4S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Soil.5S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Soil.6S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Soil.7S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Soil.8_1S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Soil.8_2S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Soil.9S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Soil.10S.old.M2_45a,M21,Soil,S,old,M2_45a
M21.Col.2R.old.M2_45a,M21,Col,R,old,M2_45a
M21.Col.3R.old.M2_45a,M21,Col,R,old,M2_45a
M21.Col.4R.old.M2_45a,M21,Col,R,old,M2_45a
M21.Col.5R.old.M2_45a,M21,Col,R,old,M2_45a
M21.Col.6R.old.M2_45a,M21,Col,R,old,M2_45a
M21.Col.7R.old.M2_45a,M21,Col,R,old,M2_45a
M21.Col.8R.old.M2_45a,M21,Col,R,old,M2_45a
M21.Col.9R.old.M2_45a,M21,Col,R,old,M2_45a
M21.Col.10R.old.M2_45a,M21,Col,R,old,M2_45a
M21.Ct.1R.old.M2_45a,M21,Ct,R,old,M2_45a
M21.Ct.2R.old.M2_45a,M21,Ct,R,old,M2_45a
M21.Ct.3R.old.M2_45a,M21,Ct,R,old,M2_45a
M21.Ct.3_2R.old.M2_45a,M21,Ct,R,old,M2_45a
M21.Ct.4R.old.M2_45a,M21,Ct,R,old,M2_45a
M21.Ct.6R.old.M2_45a,M21,Ct,R,old,M2_45a
M21.Ct.7R.old.M2_45a,M21,Ct,R,old,M2_45a
M21.Cvi.1R.old.M2_45a,M21,Cvi,R,old,M2_45a
M21.Cvi.2R.old.M2_45a,M21,Cvi,R,old,M2_45a
M21.Cvi.3R.old.M2_45a,M21,Cvi,R,old,M2_45a
M21.Cvi.4R.old.M2_45a,M21,Cvi,R,old,M2_45a
M21.Cvi.5R.old.M2_45a,M21,Cvi,R,old,M2_45a
M21.Cvi.6R.old.M2_45a,M21,Cvi,R,old,M2_45a
M21.Cvi.7R.old.M2_45a,M21,Cvi,R,old,M2_45a
M21.Cvi.8R.old.M2_45a,M21,Cvi,R,old,M2_45a
M21.Cvi.10R.old.M2_45a,M21,Cvi,R,old,M2_45a
M21.Ler.1R.old.M2_45a,M21,Ler,R,old,M2_45a
M21.Ler.2R.old.M2_45a,M21,Ler,R,old,M2_45a
M21.Ler.3R.old.M2_45a,M21,Ler,R,old,M2_45a
M21.Ler.7R.old.M2_45a,M21,Ler,R,old,M2_45a
M21.Ler.11R.old.M2_45b,M21,Ler,R,old,M2_45b
M21.Mt.1R.old.M2_45b,M21,Mt,R,old,M2_45b
M21.Mt.2R.old.M2_45b,M21,Mt,R,old,M2_45b
M21.Mt.3R.old.M2_45b,M21,Mt,R,old,M2_45b
M21.Mt.4R.old.M2_45b,M21,Mt,R,old,M2_45b
M21.Mt.5R.old.M2_45b,M21,Mt,R,old,M2_45b
M21.Mt.6R.old.M2_45b,M21,Mt,R,old,M2_45b
M21.Mt.7R.old.M2_45b,M21,Mt,R,old,M2_45b
M21.Mt.8R.old.M2_45b,M21,Mt,R,old,M2_45b
M21.Mt.9R.old.M2_45b,M21,Mt,R,old,M2_45b
M21.Ct.5E.yng.M1_28b,M21,Ct,E,yng,M1_28b
M21.Oy.1R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Oy.2R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Oy.3R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Oy.4R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Oy.5R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Oy.6R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Oy.7R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Oy.8R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Oy.9R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Oy.10R.old.M2_45b,M21,Oy,R,old,M2_45b
M21.Sha.1R.old.M2_45b,M21,Sha,R,old,M2_45b
M21.Sha.2R.old.M2_45b,M21,Sha,R,old,M2_45b
M21.Sha.3R.old.M2_45b,M21,Sha,R,old,M2_45b
M21.Sha.4R.old.M2_45b,M21,Sha,R,old,M2_45b
M21.Sha.5R.old.M2_45b,M21,Sha,R,old,M2_45b
M21.Sha.6R.old.M2_45b,M21,Sha,R,old,M2_45b
M21.Sha.7R.old.M2_45b,M21,Sha,R,old,M2_45b
M21.Sha.9R.old.M2_45b,M21,Sha,R,old,M2_45b
M21.Sha.10R.old.M2_45b,M21,Sha,R,old,M2_45b
M21.Tsu.1R.old.M2_45b,M21,Tsu,R,old,M2_45b
M21.Tsu.2R.old.M2_45b,M21,Tsu,R,old,M2_45b
M21.Tsu.3R.old.M2_45b,M21,Tsu,R,old,M2_45b
M21.Tsu.4R.old.M2_45b,M21,Tsu,R,old,M2_45b
M21.Tsu.5R.old.M2_45b,M21,Tsu,R,old,M2_45b
M21.Tsu.6R.old.M2_45b,M21,Tsu,R,old,M2_45b
M21.Tsu.7R.old.M2_45b,M21,Tsu,R,old,M2_45b
M21.Tsu.8R.old.M2_45b,M21,Tsu,R,old,M2_45b
M21.Tsu.10R.old.M2_45b,M21,Tsu,R,old,M2_45b
M21.Cvi.1E.yng.M1_28b,M21,Cvi,E,yng,M1_28b
M21.Cvi.5E.yng.M1_29a,M21,Cvi,E,yng,M1_29a
M21.Soil.2S.yng.Me3_46b,M21,Soil,S,yng,Me3_46b
M21.Soil.5_2S.yng.Me3_46b,M21,Soil,S,yng,Me3_46b
M21.Soil.11S.yng.Me3_46b,M21,Soil,S,yng,Me3_46b
M21.Soil.12S.yng.Me3_46b,M21,Soil,S,yng,Me3_46b
M21.Soil.13S.yng.Me3_46b,M21,Soil,S,yng,Me3_46b
M21.Soil.16S.yng.Me3_46b,M21,Soil,S,yng,Me3_46b
M21.Soil.17S.yng.Me3_46b,M21,Soil,S,yng,Me3_46b
M21.Soil.19S.yng.Me3_46b,M21,Soil,S,yng,Me3_46b
M21.Soil.20S.yng.Me3_47a,M21,Soil,S,yng,Me3_47a
M21.Soil.5_1S.yng.Me3_47b,M21,Soil,S,yng,Me3_47b
M21.Ler.3E.yng.M1_28b,M21,Ler,E,yng,M1_28b
M21.Ler.4E.yng.M1_28b,M21,Ler,E,yng,M1_28b
M21.Ler.5E.yng.M1_28b,M21,Ler,E,yng,M1_28b
M21.Ler.6E.yng.M1_28b,M21,Ler,E,yng,M1_28b
M21.Ler.8E.yng.M1_28b,M21,Ler,E,yng,M1_28b
M21.Ler.10E.yng.M1_28b,M21,Ler,E,yng,M1_28b
M21.Ler.2E.yng.M1_29a,M21,Ler,E,yng,M1_29a
M21.Col.2R.yng.Me3_47a,M21,Col,R,yng,Me3_47a
M21.Col.4R.yng.Me3_47a,M21,Col,R,yng,Me3_47a
M21.Col.5R.yng.Me3_47a,M21,Col,R,yng,Me3_47a
M21.Col.6R.yng.Me3_47a,M21,Col,R,yng,Me3_47a
M21.Col.7R.yng.Me3_47a,M21,Col,R,yng,Me3_47a
M21.Col.8R.yng.Me3_47a,M21,Col,R,yng,Me3_47a
M21.Col.9R.yng.Me3_47a,M21,Col,R,yng,Me3_47a
M21.Mt.1E.yng.M1_28b,M21,Mt,E,yng,M1_28b
M21.Mt.2E.yng.M1_28b,M21,Mt,E,yng,M1_28b
M21.Mt.3E.yng.M1_28b,M21,Mt,E,yng,M1_28b
M21.Mt.5E.yng.M1_28b,M21,Mt,E,yng,M1_28b
M21.Mt.6E.yng.M1_28b,M21,Mt,E,yng,M1_28b
M21.Soil.1S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Soil.2S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Soil.3S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Soil.4S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Soil.5S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Soil.6S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Soil.8S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Soil.9S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Soil.10S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Soil.11S.yng.Me2_47b,M21,Soil,S,yng,Me2_47b
M21.Col.1R.yng.Me2_47b,M21,Col,R,yng,Me2_47b
M21.Col.3R.yng.Me2_47b,M21,Col,R,yng,Me2_47b
M21.Col.4R.yng.Me2_47b,M21,Col,R,yng,Me2_47b
M21.Col.5R.yng.Me2_47b,M21,Col,R,yng,Me2_47b
M21.Col.7R.yng.Me2_47b,M21,Col,R,yng,Me2_47b
M21.Col.8R.yng.Me2_47b,M21,Col,R,yng,Me2_47b
M21.Col.7Ec_2E.yng.Me2_48b,M21,Col,E,yng,Me2_48b
M21.Col.6E.yng.Me2_48b,M21,Col,E,yng,Me2_48b
M21.Oy.8E.yng.M1_29a,M21,Oy,E,yng,M1_29a
M21.Oy.10E.yng.M1_29a,M21,Oy,E,yng,M1_29a
M21.Col.1E.yng.Me3_49b,M21,Col,E,yng,Me3_49b
M21.Col.2E.yng.Me3_49b,M21,Col,E,yng,Me3_49b
M21.Col.4E.yng.Me3_49b,M21,Col,E,yng,Me3_49b
M21.Col.6E.yng.Me3_49b,M21,Col,E,yng,Me3_49b
M21.Col.7_2E.yng.Me3_49b,M21,Col,E,yng,Me3_49b
M21.Col.8E.yng.Me3_49b,M21,Col,E,yng,Me3_49b
M21.Col.10E.yng.Me3_49b,M21,Col,E,yng,Me3_49b
M21.Sha.1E.yng.M1_29a,M21,Sha,E,yng,M1_29a
M21.Sha.3E.yng.M1_29a,M21,Sha,E,yng,M1_29a
M21.Sha.4E.yng.M1_29a,M21,Sha,E,yng,M1_29a
M21.Sha.5_2E.yng.M1_29a,M21,Sha,E,yng,M1_29a
M21.Sha.11E.yng.M1_29a,M21,Sha,E,yng,M1_29a
M21.Tsu.7E.yng.M1_29a,M21,Tsu,E,yng,M1_29a
M21.Tsu.9E.yng.M1_29a,M21,Tsu,E,yng,M1_29a
M21.Tsu.10E.yng.M1_29a,M21,Tsu,E,yng,M1_29a
C21.Col.8E.old.C1_52a,C21,Col,E,old,C1_52a
C21.Col.2E.old.C1_37a,C21,Col,E,old,C1_37a
C21.Col.4E.old.C1_37a,C21,Col,E,old,C1_37a
C21.Col.4_2E.old.C1_37a,C21,Col,E,old,C1_37a
C21.Col.5E.old.C1_37a,C21,Col,E,old,C1_37a
C21.Col.6E.old.C1_37a,C21,Col,E,old,C1_37a
C21.Ct.3E.old.C1_52a,C21,Ct,E,old,C1_52a
C21.Ct.6E.old.C1_52a,C21,Ct,E,old,C1_52a
C21.Ct.9E.old.C1_52a,C21,Ct,E,old,C1_52a
C21.Ct.2E.old.C1_37a,C21,Ct,E,old,C1_37a
C21.Cvi.1E.old.C1_52a,C21,Cvi,E,old,C1_52a
C21.Cvi.2E.old.C1_52a,C21,Cvi,E,old,C1_52a
C21.Cvi.4E.old.C1_52a,C21,Cvi,E,old,C1_52a
C21.Cvi.6E.old.C1_52a,C21,Cvi,E,old,C1_52a
C21.Cvi.9E.old.C1_52a,C21,Cvi,E,old,C1_52a
C21.Cvi.7E.old.C1_37a,C21,Cvi,E,old,C1_37a
C21.Col.1E.yng.C2_38a,C21,Col,E,yng,C2_38a
C21.Col.2E.yng.C2_38a,C21,Col,E,yng,C2_38a
C21.Col.3E.yng.C2_38a,C21,Col,E,yng,C2_38a
C21.Col.4E.yng.C2_38a,C21,Col,E,yng,C2_38a
C21.Col.9E.yng.C2_38a,C21,Col,E,yng,C2_38a
C21.Cvi.8E.yng.C2_52a,C21,Cvi,E,yng,C2_52a
M21.Cvi.10E.old.M1_52a,M21,Cvi,E,old,M1_52a
M21.Cvi.11E.old.M1_52a,M21,Cvi,E,old,M1_52a
M21.Cvi.1E.old.M1_35a,M21,Cvi,E,old,M1_35a
M21.Cvi.2E.old.M1_35a,M21,Cvi,E,old,M1_35a
M21.Cvi.8E.old.M1_35a,M21,Cvi,E,old,M1_35a
M21.Bd2l3.8R.yng.804FSH1_26b,M21,Bd2l3,R,yng,804FSH1_26b
M21.Mt.3R.yng.M1_29b,M21,Mt,R,yng,M1_29b
M21.Mt.4R.yng.M1_29b,M21,Mt,R,yng,M1_29b
M21.Mt.5R.yng.M1_29b,M21,Mt,R,yng,M1_29b
M21.Mt.6R.yng.M1_29b,M21,Mt,R,yng,M1_29b
M21.Mt.7R.yng.M1_29b,M21,Mt,R,yng,M1_29b
M21.Mt.9R.yng.M1_29b,M21,Mt,R,yng,M1_29b
M21.Mt.10R.yng.M1_29b,M21,Mt,R,yng,M1_29b
M21.Oy.1R.yng.M1_29b,M21,Oy,R,yng,M1_29b
M21.Oy.2R.yng.M1_29b,M21,Oy,R,yng,M1_29b
M21.Oy.3R.yng.M1_29b,M21,Oy,R,yng,M1_29b
M21.Oy.5R.yng.M1_29b,M21,Oy,R,yng,M1_29b
M21.Oy.7R.yng.M1_29b,M21,Oy,R,yng,M1_29b
M21.Oy.8R.yng.M1_29b,M21,Oy,R,yng,M1_29b
M21.Oy.9R.yng.M1_29b,M21,Oy,R,yng,M1_29b
M21.Oy.10R.yng.M1_29b,M21,Oy,R,yng,M1_29b
M21.Bd2l3.8E.yng.804FSH1_26b,M21,Bd2l3,E,yng,804FSH1_26b
M21.Sha.1R.yng.M1_29b,M21,Sha,R,yng,M1_29b
M21.Sha.2R.yng.M1_29b,M21,Sha,R,yng,M1_29b
M21.Sha.3R.yng.M1_29b,M21,Sha,R,yng,M1_29b
M21.Sha.4R.yng.M1_29b,M21,Sha,R,yng,M1_29b
M21.Sha.5R.yng.M1_29b,M21,Sha,R,yng,M1_29b
M21.Sha.6R.yng.M1_29b,M21,Sha,R,yng,M1_29b
M21.Sha.7R.yng.M1_29b,M21,Sha,R,yng,M1_29b
M21.Sha.9R.yng.M1_29b,M21,Sha,R,yng,M1_29b
M21.Sha.10R.yng.M1_29b,M21,Sha,R,yng,M1_29b
M21.Soil.2S.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Soil.2_2S.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Soil.2_3S.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Soil.3S.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Soil.4S.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Soil.5S.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Soil.7S.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Soil.8S.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Soil.9S.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Soil.xS.old.M1_30a,M21,Soil,S,old,M1_30a
M21.Col.2R.old.M1_30a,M21,Col,R,old,M1_30a
M21.Col.3R.old.M1_30a,M21,Col,R,old,M1_30a
M21.Col.4R.old.M1_30a,M21,Col,R,old,M1_30a
M21.Col.5R.old.M1_30a,M21,Col,R,old,M1_30a
M21.Col.6R.old.M1_30a,M21,Col,R,old,M1_30a
M21.Col.7R.old.M1_30a,M21,Col,R,old,M1_30a
M21.Col.8R.old.M1_30a,M21,Col,R,old,M1_30a
M21.Col.9R.old.M1_30a,M21,Col,R,old,M1_30a
M21.Col.10R.old.M1_30a,M21,Col,R,old,M1_30a
M21.Ct.2R.old.M1_30a,M21,Ct,R,old,M1_30a
M21.Ct.3R.old.M1_30a,M21,Ct,R,old,M1_30a
M21.Ct.4R.old.M1_30a,M21,Ct,R,old,M1_30a
M21.Ct.7R.old.M1_30a,M21,Ct,R,old,M1_30a
M21.Ct.9R.old.M1_30a,M21,Ct,R,old,M1_30a
M21.Ct.11R.old.M1_30a,M21,Ct,R,old,M1_30a
M21.Cvi.1R.old.M1_30a,M21,Cvi,R,old,M1_30a
M21.Cvi.2R.old.M1_30a,M21,Cvi,R,old,M1_30a
M21.Cvi.5R.old.M1_30a,M21,Cvi,R,old,M1_30a
M21.Cvi.6R.old.M1_30a,M21,Cvi,R,old,M1_30a
M21.Cvi.8R.old.M1_30a,M21,Cvi,R,old,M1_30a
M21.Cvi.9R.old.M1_30a,M21,Cvi,R,old,M1_30a
M21.Cvi.10R.old.M1_30a,M21,Cvi,R,old,M1_30a
M21.Cvi.11R.old.M1_30a,M21,Cvi,R,old,M1_30a
M21.Ler.2R.old.M1_30a,M21,Ler,R,old,M1_30a
M21.Ler.3R.old.M1_30a,M21,Ler,R,old,M1_30a
M21.Ler.52R.old.M1_30a,M21,Ler,R,old,M1_30a
M21.Ler.5_2R.old.M1_30a,M21,Ler,R,old,M1_30a
M21.Ler.7R.old.M1_30a,M21,Ler,R,old,M1_30a
M21.Ler.8R.old.M1_30a,M21,Ler,R,old,M1_30a
M21.Ler.8_2R.old.M1_30b,M21,Ler,R,old,M1_30b
M21.Ler.9R.old.M1_30b,M21,Ler,R,old,M1_30b
M21.Ler.10R.old.M1_30b,M21,Ler,R,old,M1_30b
M21.Mt.2R.old.M1_30b,M21,Mt,R,old,M1_30b
M21.Mt.4R.old.M1_30b,M21,Mt,R,old,M1_30b
